89 1.283 0.858 -1.093 -0.001 0.963 -0.000
90 -0.584 4.672 0.170 -0.073 -0.885 1.055
92 0.176 -0.231 -2.225 -0.000 0.335 0.006
93 -0.943 1.265 -0.746 0.020 -1.427 -0.000
97 -0.076 1.458 -1.412 -0.001 -0.076 0.002
101 -2.528 0.260 0.517 0.000 -0.303 0.000
103 -0.939 1.246 -0.976 -0.002 0.556 0.001
106 1.077 -2.056 0.128 -0.085 0.069 -0.086
109 0.162 -0.489 -0.113 0.010 0.253 0.014
116 0.318 -1.558 0.697 -0.068 -0.154 0.079
118 -0.573 -0.438 0.306 -0.356 0.887 0.086
119 0.986 -2.179 -0.161 0.389 0.667 0.686
121 -1.976 1.096 -0.301 0.051 -0.186 0.062
113 0.346 -0.152 0.501 -0.000 -0.567 -0.003
124 2.234 2.726 0.242 0.004 -0.595 -0.001
126 -0.911 -1.250 0.324 -0.000 -0.066 0.000
127 -1.719 -4.152 0.171 0.003 -0.910 -0.001
130 -0.339 -1.693 1.679 0.000 1.237 0.000
139 0.432 -0.790 -0.138 0.003 0.338 -0.003
140 -0.393 0.987 0.233 0.000 0.020 -0.001
148 -0.026 0.385 -0.557 0.283 -1.323 -0.138
151 0.911 -0.317 -0.656 -0.306 -0.030 -0.048
152 6.984 8.672 5.118 -1.863 -1.921 4.689
153 4.484 -4.548 3.163 -0.063 -0.553 -0.018
138 0.688 0.542 -0.014 0.054 -0.517 0.077
155 -0.659 -2.611 1.364 0.012 0.052 0.021
159 0.292 -1.206 0.260 -0.013 0.147 -0.026
163 1.180 0.611 0.473 0.043 -0.140 0.016
169 -1.704 0.896 -3.847 -0.034 0.095 -0.105
175 2.300 -1.937 2.574 0.203 -0.116 -0.409
178 -0.070 -1.988 0.649 0.080 0.443 -0.170
182 -0.295 -3.173 -3.016 0.041 -1.337 -0.007
183 1.069 0.984 0.753 -0.050 -0.951 -0.186
185 -1.695 -1.724 1.607 0.000 0.070 0.020
186 -5.632 0.783 -5.401 12.689 1.036 2.675
198 -1.199 1.229 -1.068 -0.050 -0.473 -0.451
192 1.465 -0.669 0.814 0.143 -0.662 -0.021
195 0.288 2.600 -1.254 -0.006 -0.144 0.115
197 -0.996 7.214 -7.065 19.364 -12.377 1.889
201 -0.829 -0.806 -0.224 -0.167 -0.043 0.167
203 0.191 -0.738 0.472 0.066 -0.478 0.017
204 -1.740 -1.587 0.014 0.004 -0.294 -0.086
207 -0.067 -1.527 0.110 0.095 -1.649 -0.043
212 -1.391 -0.337 -0.697 0.363 0.466 -0.051
214 0.730 1.097 1.230 2.373 1.117 0.231
215 1.772 -0.290 -0.536 0.008 0.058 0.079
217 -10.117 -5.813 2.156 1.493 1.666 -0.665
221 3.105 5.058 -2.922 -0.120 -1.244 -0.125
222 -0.657 2.132 -1.331 -0.463 0.430 0.629
224 -0.443 0.030 1.768 0.040 -0.394 -0.085
226 0.730 2.727 -0.427 -0.261 -0.147 0.110
